iteration,env_steps,ep_return,ep_length,success_rate,success_rate_rolling,entropy,policy_loss,value_loss,approx_kl,sps,tx_per_agent_step,comp_time,comp_compliance,comp_report,comp_command,comp_combat,comp_terminal
137,140288,41.8343,116.27273,1.0,0.93,1.165306,-0.000877,13.768493,0.000141,3243,0.14916,-0.01,0.00823,-0.00145,-0.00129,0.00151,0.51194
138,141312,33.15596,139.57143,0.85714,0.92,1.091729,-0.000403,17.447934,0.00022,3285,0.14569,-0.01,0.00706,0.0001,-0.00197,0.00029,0.27579
139,142336,32.18609,120.85714,0.85714,0.91,1.165542,0.014522,17.13388,0.00033,3417,0.15299,-0.01,0.00741,-0.00413,-0.00295,-0.00488,0.28228
140,143360,29.38924,145.75,0.75,0.89,1.065267,-0.000482,22.745243,0.000121,3559,0.13761,-0.01,0.00759,-0.00119,-0.00141,-0.00683,0.30531
141,144384,30.67458,121.88889,0.66667,0.87,1.132861,-0.047364,24.403484,0.000293,3351,0.14563,-0.01,0.00883,-0.00132,-0.00178,-0.02733,0.34369
142,145408,20.99299,118.88889,0.77778,0.85,1.096666,-0.062348,19.964264,0.000258,3287,0.13522,-0.01,0.00964,-0.00338,-0.00143,-0.01709,0.25976
143,146432,32.08913,98.9,0.8,0.86,1.068482,-0.000957,29.380959,0.000225,3448,0.14907,-0.01,0.01103,-0.00102,-0.0016,-0.0317,0.41414
144,147456,24.44193,141.125,0.75,0.85,1.126598,-0.000237,23.428686,0.000304,3680,0.13608,-0.01,0.00859,-0.00258,-0.00109,-0.00729,0.27709
145,148480,33.07961,114.25,0.875,0.85,1.16571,-0.001062,19.693635,0.000285,3306,0.14809,-0.01,0.00866,-0.00604,-0.00193,-0.00525,0.31109
146,149504,15.84041,117.14286,0.57143,0.82,1.069758,-0.006106,23.838408,0.000523,3653,0.14203,-0.01,0.00915,-0.00173,-0.00224,-0.06061,0.19319
147,150528,35.20424,115.0,0.88889,0.81,1.113984,-0.000442,27.029041,0.00012,3373,0.14013,-0.01,0.00951,-0.00074,-0.00122,-0.01926,0.38622
148,151552,33.73431,125.81818,0.90909,0.81,1.161417,-0.02565,23.020382,0.000894,3191,0.15084,-0.01,0.00896,-0.00512,-0.00121,-0.00532,0.45302
149,152576,28.56859,103.375,0.875,0.8,1.046138,-0.051423,18.915838,0.000152,3237,0.14454,-0.01,0.00997,-0.00125,-0.00222,-0.00598,0.27139
150,153600,37.26892,118.25,0.875,0.81,1.078842,0.104715,23.303697,0.000109,3240,0.14873,-0.01,0.00972,-0.0001,-0.00188,-0.00421,0.34172
151,154624,35.00893,100.0,0.83333,0.8,1.073971,-0.000717,31.850567,8.7e-05,3093,0.15052,-0.01,0.01085,0.00142,-0.00155,-0.01335,0.48415
152,155648,35.35984,113.44444,1.0,0.84,1.080382,-0.000293,21.115571,0.00016,3311,0.14483,-0.01,0.00946,-0.00157,-0.00219,0.00015,0.37484
153,156672,26.02065,103.3,0.8,0.84,1.074235,-0.000433,19.555997,0.00019,3256,0.13901,-0.01,0.01001,-0.00094,-0.00186,-0.01435,0.31135
154,157696,30.75721,114.6,0.9,0.85,1.127163,-0.000378,23.148041,0.000116,3356,0.151,-0.01,0.01004,-0.00157,-0.00148,-0.00801,0.37278
155,158720,17.46011,114.42857,0.71429,0.85,1.004933,-0.044007,19.910048,0.00048,3401,0.1359,-0.01,0.00941,-0.00102,-0.00228,-0.01696,0.16974
156,159744,40.09296,105.75,1.0,0.86,1.116481,-0.00039,21.798123,8.8e-05,3292,0.15794,-0.01,0.00933,-0.00193,-0.00199,0.00031,0.3615
157,160768,28.88998,125.11111,0.88889,0.88,1.027482,0.049104,20.391744,0.000279,3590,0.14171,-0.01,0.01064,-0.00255,-0.002,-0.0202,0.35814
